Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SAR
2022-11-28,ZUARI,EQ,157.25,157.55,162.2,157.55,158.35,158.7,159.68,92978,1484664880000.0,2803,43844,0.47159999999999996,152.84351999999998
2022-11-29,ZUARI,EQ,158.7,158.8,164.5,156.4,160.3,160.1,160.94,118571,1908301455000.0,3477,49894,0.4208,153.0586496
2022-11-30,ZUARI,EQ,160.1,160.6,160.9,156.8,158.25,158.0,158.07,60003,948460394999.9999,1974,31385,0.5231,153.516303616
2022-12-01,ZUARI,EQ,158.0,159.0,160.25,157.4,158.0,157.75,158.48,49033,777097925000.0,1523,24523,0.5001,153.95565147136
2022-12-02,ZUARI,EQ,157.75,158.95,163.0,157.55,160.45,161.15,160.89,104840,1686788295000.0,2895,48883,0.46630000000000005,154.3774254125056
2022-12-05,ZUARI,EQ,161.15,162.75,172.45,161.2,167.05,167.45,167.27,305660,5112879415000.0,7335,171628,0.5615,154.78232839600537
2022-12-06,ZUARI,EQ,167.45,168.1,171.75,165.2,166.0,166.2,167.63,133989,2246044975000.0,3748,60866,0.4543,155.84238869224504
2022-12-07,ZUARI,EQ,166.2,163.6,170.9,163.6,168.0,167.6,168.05,97696,1641800210000.0,3352,42148,0.4314,156.83884537071035
2022-12-08,ZUARI,EQ,167.6,168.0,170.55,166.6,167.05,167.2,168.85,73197,1235963125000.0,2756,35630,0.4868,157.77551464846772
2022-12-09,ZUARI,EQ,167.2,167.25,169.15,161.1,163.8,163.35,164.91,83047,1369528345000.0,2624,48665,0.5860000000000001,158.65598376955967
2022-12-12,ZUARI,EQ,163.35,163.35,164.95,159.0,161.0,160.85,161.63,70755,1143639180000.0,2102,37198,0.5257000000000001,172.45
2022-12-13,ZUARI,EQ,160.85,162.45,164.45,160.4,161.4,161.05,162.29,49887,809620150000.0,1807,21131,0.4236,172.18099999999998
2022-12-14,ZUARI,EQ,161.05,161.95,165.8,161.4,162.55,163.15,163.68,70297,1150605225000.0,1930,38206,0.5435,171.91737999999998
2022-12-15,ZUARI,EQ,163.15,164.45,172.5,162.75,168.5,167.9,169.02,396138,6695375200000.0,8316,104803,0.2646,159.0
2022-12-16,ZUARI,EQ,167.9,166.85,173.8,163.45,164.0,164.6,169.14,261644,4425438365000.0,7442,84656,0.3236,159.27
2022-12-19,ZUARI,EQ,164.6,165.7,166.35,160.05,161.25,160.8,162.22,90862,1473988205000.0,2915,41367,0.45530000000000004,159.8512
2022-12-20,ZUARI,EQ,160.8,161.55,169.9,159.2,166.4,166.35,165.54,162056,2682754530000.0,5757,54321,0.33520000000000005,173.8
2022-12-21,ZUARI,EQ,166.35,166.4,168.9,154.4,155.7,155.75,159.73,163417,2610178990000.0,4794,82644,0.5057,173.508
2022-12-22,ZUARI,EQ,155.75,157.3,158.35,149.4,151.25,151.75,152.48,93663,1428135320000.0,3131,46591,0.4974,172.74368
2022-12-23,ZUARI,EQ,151.75,150.0,151.15,140.4,140.5,141.65,145.53,122716,1785923485000.0002,3654,66652,0.5431,171.3430592
2022-12-26,ZUARI,EQ,141.65,140.0,149.7,138.95,148.35,149.0,146.33,86081,1259640375000.0,2914,41148,0.478,168.867614464
2022-12-27,ZUARI,EQ,149.0,149.1,154.0,148.55,152.2,153.1,151.92,68739,1044285519999.9999,2289,20074,0.292,165.8758530176
